2023-02-06 18:02:468 INFO  HomePage :153 - Getting error from [[ChromeDriver: chrome on WINDOWS (ca97aa5135aea5e08102035e8232115c)] -> xpath: //div[@class='inputs']//span[@id='Password-error']]
2023-02-06 18:02:547 INFO  HomePage :158 - Getting error from [[ChromeDriver: chrome on WINDOWS (ca97aa5135aea5e08102035e8232115c)] -> xpath: //span[@data-valmsg-for='ConfirmPassword']/span[contains(text(),'Password is required.')]]
2023-02-06 18:02:441 INFO  WebDriverManager :1122 - Using chromedriver 109.0.5414.74 (resolved driver for Chrome 109)
2023-02-06 18:02:472 INFO  WebDriverManager :1177 - Exporting webdriver.chrome.driver as C:\Users\kuldi\.cache\selenium\chromedriver\win32\109.0.5414.74\chromedriver.exe
2023-02-06 18:02:311 INFO  HomePage :80 - click on register link :[[ChromeDriver: chrome on WINDOWS (1b17af9a16b18694af675c248d649c02)] -> link text: Register]
2023-02-06 18:02:489 INFO  HomePage :89 - Click on female radio button[[ChromeDriver: chrome on WINDOWS (1b17af9a16b18694af675c248d649c02)] -> xpath: //div[@class='gender']//input[@id='gender-female']]
2023-02-06 18:02:698 INFO  HomePage :94 - Enter your firstname[[ChromeDriver: chrome on WINDOWS (1b17af9a16b18694af675c248d649c02)] -> id: FirstName]
2023-02-06 18:02:919 INFO  HomePage :99 - Enter your lastname[[ChromeDriver: chrome on WINDOWS (1b17af9a16b18694af675c248d649c02)] -> id: LastName]
2023-02-06 18:02:115 INFO  HomePage :104 - select your day of birth[[ChromeDriver: chrome on WINDOWS (1b17af9a16b18694af675c248d649c02)] -> xpath: //div[@class='inputs date-of-birth']//select[@name='DateOfBirthDay']]
2023-02-06 18:02:326 INFO  HomePage :109 - Select the month which you was born[[ChromeDriver: chrome on WINDOWS (1b17af9a16b18694af675c248d649c02)] -> xpath: //div[@class='inputs date-of-birth']//select[@name='DateOfBirthMonth']]
2023-02-06 18:02:539 INFO  HomePage :114 - Select the year you was born in[[ChromeDriver: chrome on WINDOWS (1b17af9a16b18694af675c248d649c02)] -> xpath: //div[@class='inputs date-of-birth']//select[@name='DateOfBirthYear']]
2023-02-06 18:02:808 INFO  HomePage :119 - Enter your email[[ChromeDriver: chrome on WINDOWS (1b17af9a16b18694af675c248d649c02)] -> id: Email]
2023-02-06 18:02:62 INFO  HomePage :124 - Enter your password[[ChromeDriver: chrome on WINDOWS (1b17af9a16b18694af675c248d649c02)] -> name: Password]
2023-02-06 18:02:310 INFO  HomePage :129 - Confirm your password[[ChromeDriver: chrome on WINDOWS (1b17af9a16b18694af675c248d649c02)] -> name: ConfirmPassword]
2023-02-06 18:02:182 INFO  HomePage :134 - Click on register button
2023-02-06 18:02:230 INFO  HomePage :164 - Getting link from [[ChromeDriver: chrome on WINDOWS (1b17af9a16b18694af675c248d649c02)] -> xpath: //div[@class='page-body']//div[contains(text(),'Your registration completed')]]
2023-02-06 18:02:180 INFO  WebDriverManager :1122 - Using chromedriver 109.0.5414.74 (resolved driver for Chrome 109)
2023-02-06 18:02:208 INFO  WebDriverManager :1177 - Exporting webdriver.chrome.driver as C:\Users\kuldi\.cache\selenium\chromedriver\win32\109.0.5414.74\chromedriver.exe
2023-02-06 18:02:537 INFO  HomePage :80 - click on register link :[[ChromeDriver: chrome on WINDOWS (7d0990ff70fbb448f5b47f17cc6f320b)] -> link text: Register]
2023-02-06 18:02:563 INFO  HomePage :78 - Click on build your computer link[[ChromeDriver: chrome on WINDOWS (7d0990ff70fbb448f5b47f17cc6f320b)] -> xpath: //h1[contains(text(),'Register')]]
2023-02-06 18:02:420 INFO  WebDriverManager :1122 - Using chromedriver 109.0.5414.74 (resolved driver for Chrome 109)
2023-02-06 18:02:442 INFO  WebDriverManager :1177 - Exporting webdriver.chrome.driver as C:\Users\kuldi\.cache\selenium\chromedriver\win32\109.0.5414.74\chromedriver.exe
2023-02-06 18:02:568 INFO  HomePage :38 - Click on computer tab[[ChromeDriver: chrome on WINDOWS (96cca5824c3fe0191f535b90e07868f5)] -> xpath: //ul[@class='top-menu notmobile']/li//a[@href='/computers']]
2023-02-06 18:02:357 INFO  HomePage :48 - Click on desktop linkProxy element for: DefaultElementLocator 'By.xpath: //h2[@class='title']//a[@href='/desktops']'
2023-02-06 18:02:694 INFO  HomePage :51 - Click on build your computer linkProxy element for: DefaultElementLocator 'By.xpath: //div[@class='products-container']/div[2]/div/div/div[1]/div/div[2]/h2/a'
2023-02-06 18:02:54 INFO  HomePage :56 - Click on the processor from drop down[[ChromeDriver: chrome on WINDOWS (96cca5824c3fe0191f535b90e07868f5)] -> xpath: //select[@id='product_attribute_1']]
